MySQL [en_rscwiki]> select page_id, page_namespace, page_title, page_is_redirect from page;
+---------+----------------+--------------------------------------------------------------------------------------------+------------------+
| page_id | page_namespace | page_title                                                                                 | page_is_redirect |
|    9118 |              6 | Specimen_brush.png                                                                         |                0 |
|    9119 |              6 | Specimen_jar.png                                                                           |                0 |
|    9120 |              6 | Spice_crunchies.png                                                                        |                0 |
|    9121 |              6 | Soil.png                                                                                   |                0 |
|    9122 |              2 | XANA520                                                                                    |                0 |
|    9123 |              3 | XANA520                                                                                    |                0 |
|    9125 |              2 | Hussein-Classic                                                                            |                0 |
|    9126 |              3 | Hussein-Classic                                                                            |                0 |
|    9127 |              2 | Hussein                                                                                    |                0 |
|    9129 |              2 | William_Lash                                                                               |                0 |
|    9130 |              3 | William_Lash                                                                               |                0 |
|    9131 |              2 | Hussein/Attack                                                                             |                0 |
|    9132 |              1 | Aggressiveness                                                                             |                0 |
|    9135 |              0 | Cooked_shrimp                                                                              |                1 |
|    9136 |             14 | Calculator_templates                                                                       |                0 |
|    9138 |             14 | Agility                                                                                    |                0 |
|    9142 |              0 | Boots_of_lightness                                                                         |                1 |
|    9144 |             14 | Quest_item_images                                                                          |                0 |
|    9145 |             14 | Quest_NPC_images                                                                           |                0 |
|    9146 |             14 | Key_images                                                                                 |                0 |
|    9147 |             14 | Book_images                                                                                |                0 |
|    9148 |             14 | Ammunition_images                                                                          |                0 |
|    9149 |             14 | Gnome_cooking_images                                                                       |                0 |
|    9150 |             14 | Certificate_images                                                                         |                0 |
|    9151 |             14 | Agility_images                                                                             |                0 |
|    9152 |             14 | Gnome_cocktail_images                                                                      |                0 |
|    9153 |              2 | SVG                                                                                        |                0 |
|    9154 |              3 | SVG                                                                                        |                0 |
|    9155 |              0 | Warrior_women                                                                              |                1 |
|    9156 |              0 | Pearl                                                                                      |                1 |
|    9157 |              0 | World_switching                                                                            |                1 |
|    9160 |              0 | Potion_of_Zamorak                                                                          |                0 |
|    9161 |              0 | Miscellaneous_key                                                                          |                0 |
|    9163 |              0 | Kolodion                                                                                   |                0 |
|    9164 |              0 | Gnome_Baller                                                                               |                0 |
|    9165 |              0 | Grip                                                                                       |                0 |
|    9166 |              0 | Rashiliyia                                                                                 |                0 |
|    9167 |              0 | Brother_Cedric                                                                             |                0 |
|    9169 |             14 | Needs_examine_added                                                                        |                0 |
|    9172 |              0 | Cracker                                                                                    |                1 |
|    9173 |              0 | Dragon_amulet                                                                              |                1 |
|    9174 |              0 | Charged_dragon_amulet                                                                      |                1 |
|    9175 |              0 | Glory                                                                                      |                1 |
|    9176 |              0 | Glory_amulet                                                                               |                1 |
|    9177 |              0 | Glory_ammy                                                                                 |                1 |
|    9178 |              6 | Anvil.png                                                                                  |                0 |
|    9179 |              6 | Mugger.png                                                                                 |                0 |
|    9180 |              0 | Witches_house                                                                              |                1 |
|    9181 |              0 | Witchs_house                                                                               |                1 |
|    9182 |              0 | Witch_house                                                                                |                1 |
|    9183 |              0 | Runeore                                                                                    |                1 |
|    9184 |              0 | TEA                                                                                        |                1 |
|    9185 |              0 | Tea                                                                                        |                1 |
|    9187 |              0 | Redberry                                                                                   |                0 |
|    9188 |              0 | Red_berry                                                                                  |                1 |
|    9189 |              0 | High_alch                                                                                  |                1 |
|    9190 |              0 | Hi_alch                                                                                    |                1 |
|    9191 |              0 | High_alchemy                                                                               |                1 |
|    9192 |              0 | High_lv_alchemy                                                                            |                1 |
|    9193 |              0 | High_lvl_alchemy                                                                           |                1 |
|    9194 |              0 | High_lvl_alch                                                                              |                1 |
|    9195 |              0 | Black_knight_titan                                                                         |                1 |
|    9196 |              0 | Blk_knight_titan                                                                           |                1 |
|    9198 |              0 | Portal                                                                                     |                0 |
|    9199 |              0 | Curator                                                                                    |                0 |
|    9200 |              0 | Drop_trick                                                                                 |                0 |
|    9201 |              0 | Highest_bonuses                                                                            |                1 |
|    9202 |              0 | Highest_bonus                                                                              |                1 |
|    9203 |              0 | Best_bonus                                                                                 |                1 |
|    9204 |              0 | Best_bonuses                                                                               |                1 |
|    9205 |              0 | Entrana_Fire_Bird                                                                          |                1 |
|    9206 |              0 | Fire_bird                                                                                  |                1 |
|    9207 |              0 | Entrana_bird                                                                               |                1 |
|    9208 |              0 | Ogre_guard                                                                                 |                0 |
|    9209 |              0 | Poison_Spider                                                                              |                0 |
|    9210 |              0 | Damage                                                                                     |                1 |
|    9211 |              0 | Monks_robe_(top)                                                                           |                0 |
|    9212 |              0 | Monks_robe_(bottom)                                                                        |                0 |
|    9213 |              0 | Monks_robe                                                                                 |                1 |
|    9214 |              0 | Monks_robe_top                                                                             |                1 |
|    9215 |              0 | Monks_robe_bottom                                                                          |                1 |
|    9216 |              0 | Robe_of_Zamorak                                                                            |                1 |
|    9217 |              0 | Robe_of_Zamorak_(bottom)                                                                   |                0 |
|    9218 |              0 | Robe_of_zamorak_bottom                                                                     |                1 |
|    9219 |              0 | Zamorak_bottom                                                                             |                1 |
|    9220 |              0 | Zamorak_robe                                                                               |                1 |
|    9221 |              0 | Robe_of_Zamorak_top                                                                        |                1 |
|    9222 |              0 | Robe_of_Zamorak_(top)                                                                      |                0 |
|    9223 |              0 | Robe_of_zamorak_top                                                                        |                1 |
|    9224 |              0 | Zamorak_top                                                                                |                1 |
|    9225 |              0 | Zamorak_robe_top                                                                           |                1 |
|    9226 |              0 | Zamorak_robes_top                                                                          |                1 |
|    9227 |              0 | Z_robes                                                                                    |                1 |
|    9228 |              0 | Z_robe                                                                                     |                1 |
|    9229 |              0 | Druids_robe_(top)                                                                          |                0 |
|    9230 |              0 | Druids_robe_(bottom)                                                                       |                0 |
|    9231 |              0 | Druids_robe                                                                                |                1 |
|    9232 |              0 | Druid_robe                                                                                 |                1 |
|    9233 |              0 | Druids_robe_top                                                                            |                1 |
|    9234 |              0 | Druids_robe_t                                                                              |                1 |
|    9235 |              0 | Druids_top                                                                                 |                1 |
|    9236 |              0 | Druid_top                                                                                  |                1 |
|    9237 |              0 | Druids_robe_bottom                                                                         |                1 |
|    9238 |              0 | Druids_bottom                                                                              |                1 |
|    9239 |              0 | Druid's_bottom                                                                             |                1 |
|    9240 |              0 | Druid's_robe_bottom                                                                        |                1 |
|    9241 |              0 | Druid_robe_bottom                                                                          |                1 |
|    9242 |              0 | Druid_bottom                                                                               |                1 |
|    9243 |              0 | Twisted                                                                                    |                1 |
|    9244 |              0 | Class                                                                                      |                1 |
|    9245 |              0 | Classes                                                                                    |                0 |
|    9246 |              0 | Muddy_key                                                                                  |                0 |
|    9248 |              0 | Digsite_quest                                                                              |                1 |
|    9250 |              0 | Magic_bonus                                                                                |                1 |
|    9251 |              0 | Magic_bonuses                                                                              |                1 |
|    9252 |              0 | Best_mage                                                                                  |                1 |
|    9253 |              0 | Best_mage_bonuses                                                                          |                1 |
|    9254 |              0 | Best_magic_bonus                                                                           |                1 |
|    9255 |              0 | Wyson_the_gardener                                                                         |                0 |
|    9256 |              6 | Wizard_Mizgog.png                                                                          |                0 |
|    9257 |              0 | Mage_tank                                                                                  |                1 |
|    9258 |              0 | Blue_wizardshat                                                                            |                1 |
|    9259 |              0 | Blue_wizards_hat                                                                           |                1 |
|    9260 |              0 | Blue_wizard_hat                                                                            |                1 |
|    9261 |              0 | Black_medium                                                                               |                1 |
|    9262 |              0 | Black_medium_helmet                                                                        |                1 |
|    9263 |              0 | Black_med_helmet                                                                           |                1 |
|    9264 |              0 | Black_med_helm                                                                             |                1 |
|    9265 |              0 | Blk_med_helm                                                                               |                1 |
|    9266 |              0 | Merlins_Crystal                                                                            |                1 |
|    9267 |              2 | Jdenosaur                                                                                  |                0 |
|    9268 |              3 | Jdenosaur                                                                                  |                0 |
|    9269 |              0 | Filter                                                                                     |                0 |
|    9270 |              6 | Chuck.png                                                                                  |                0 |
|    9271 |              2 | Joseph101895                                                                               |                0 |
|    9272 |              3 | Joseph101895                                                                               |                0 |
|    9273 |              6 | XP_Needed_to_Next_Level.jpg                                                                |                0 |
|    9274 |              2 | Bud2400                                                                                    |                0 |
|    9275 |              3 | Bud2400                                                                                    |                0 |
|    9276 |              0 | Chest_(Blood-Rune)                                                                         |                0 |
|    9277 |              0 | Poisoned_Iron_dagger                                                                       |                0 |
|    9280 |              2 | Roast_Duck7                                                                                |                0 |
|    9281 |              3 | Roast_Duck7                                                                                |                0 |
|    9282 |              2 | Guthixflok                                                                                 |                0 |
|    9283 |              3 | Guthixflok                                                                                 |                0 |
|    9284 |              0 | Black                                                                                      |                1 |
|    9285 |              6 | Doric'sQuestMap.png                                                                        |                0 |
|    9286 |              6 | IngredientLocationsForCooksQuest.png                                                       |                0 |
|    9287 |              2 | Mnmnnmnm                                                                                   |                0 |
|    9288 |              3 | Mnmnnmnm                                                                                   |                0 |
|    9289 |             10 | Signatures/Hairrazerrr                                                                     |                0 |
|    9290 |              2 | Hairr                                                                                      |                0 |
|    9291 |              3 | Hairr                                                                                      |                0 |
|    9292 |              4 | Adventurers'_Tales                                                                         |                0 |
|    9295 |              4 | Talk_page                                                                                  |                0 |
|    9297 |              4 | Userboxes/Requests                                                                         |                0 |
|    9298 |             10 | Userbox/Box_on_demand                                                                      |                0 |
|    9299 |              4 | Userboxes/Event                                                                            |                0 |
|    9300 |              4 | Userboxes/Holiday_Items                                                                    |                0 |
|    9301 |              4 | Userboxes/Rights/Edits                                                                     |                0 |
|    9302 |              4 | Userboxes/Projects                                                                         |                0 |
|    9303 |              4 | Userboxes/Language                                                                         |                0 |
|    9307 |              3 | 76.69.229.55                                                                               |                0 |
|    9311 |              2 | Rsa23899/Agility                                                                           |                1 |
|    9312 |              2 | Rsa23899/Attack                                                                            |                1 |
|    9313 |              2 | Rsa23899/Cooking                                                                           |                1 |
|    9314 |              2 | Rsa23899/Crafting                                                                          |                1 |
|    9315 |              2 | Rsa23899/Defence                                                                           |                1 |
|    9316 |              2 | Rsa23899/Firemaking                                                                        |                1 |
|    9317 |              2 | Rsa23899/Fishing                                                                           |                1 |
|    9318 |              2 | Rsa23899/Fletching                                                                         |                1 |
|    9319 |              2 | Rsa23899/Herblaw                                                                           |                1 |
|    9320 |              2 | Rsa23899/Hits                                                                              |                1 |
|    9321 |              2 | Rsa23899/Magic                                                                             |                1 |
|    9322 |              2 | Rsa23899/Mining                                                                            |                1 |
|    9323 |              2 | Rsa23899/Prayer                                                                            |                1 |
|    9324 |              2 | Rsa23899/Ranged                                                                            |                1 |
|    9326 |              2 | Rsa23899/Smithing                                                                          |                1 |
|    9327 |              2 | Rsa23899/Strength                                                                          |                1 |
|    9328 |              2 | Rsa23899/Thieving                                                                          |                1 |
|    9338 |             10 | Signatures/Rsa23899                                                                        |                1 |
|    9339 |              2 | Rsa23899/Woodcutting                                                                       |                1 |
|    9341 |            110 | RSC_Drop_Party                                                                             |                0 |
|    9342 |              0 | Rsc_Drop_Party_Sept_11th,_2011                                                             |                1 |
|    9343 |              3 | Zek1999                                                                                    |                0 |
|    9344 |              6 | Watto.png                                                                                  |                0 |
|    9345 |              8 | Filedelete-reason-dropdown                                                                 |                0 |
|    9346 |              6 | Chicken.png                                                                                |                0 |
|    9347 |              3 | 68.45.49.204                                                                               |                0 |
|    9348 |              2 | The_Fizzbuzzler                                                                            |                0 |
|    9349 |              3 | Cook_Me_Plox                                                                               |                0 |
|    9350 |              0 | Anna                                                                                       |                1 |
|    9351 |              0 | Blurberry_Barman                                                                           |                1 |
|    9352 |              0 | Ceril_Carnillean                                                                           |                1 |
|    9354 |              0 | A_Silver_dagger                                                                            |                1 |
|    9355 |              0 | Adamant_arrow_heads                                                                        |                1 |
|    9356 |              0 | Adamant_Arrows                                                                             |                1 |
|    9357 |              0 | Adamant_dart_tips                                                                          |                1 |
|    9358 |              0 | Adamant_pickaxe                                                                            |                1 |
|    9359 |              0 | Adamant_Plate_Mail_top                                                                     |                1 |
|    9360 |              0 | Adamant_Plated_Skirt                                                                       |                1 |
|    9361 |              0 | Adamant_throwing_knife                                                                     |                1 |
|    9362 |              0 | Amulet_of_power                                                                            |                1 |
|    9363 |              0 | Anchovy_pizza                                                                              |                1 |
|    9364 |              0 | Anti_dragon_breath_shield                                                                  |                1 |
|    9365 |              0 | Yew_log_certificate                                                                        |                1 |
|    9366 |              0 | Yellow_dye                                                                                 |                1 |
|    9367 |              0 | Yellow_bead                                                                                |                1 |
|    9368 |              0 | Wizard's_mind_bomb                                                                         |                1 |
|    9369 |              0 | Willow_log_certificate                                                                     |                1 |
|    9370 |              0 | White_bead                                                                                 |                1 |
|    9371 |              0 | Anti-shaman_potion                                                                         |                1 |
|    9372 |              0 | Bervirius_tomb_notes                                                                       |                1 |
|    9373 |              0 | Black_bead                                                                                 |                1 |
|    9374 |              0 | Black_candle                                                                               |                1 |
|    9375 |              0 | Black_Plated_Skirt                                                                         |                1 |
|    9376 |              0 | Blue_dye                                                                                   |                1 |
|    9377 |              0 | Bowl_of_Water                                                                              |                1 |
|    9378 |              0 | Bronze_wire                                                                                |                1 |
|    9379 |              0 | Burnt_lobster                                                                              |                1 |
|    9380 |              0 | Burnt_swordfish                                                                            |                1 |
|    9381 |              0 | Cake_tin                                                                                   |                1 |
|    9382 |              0 | Cannonball                                                                                 |                1 |
|    9383 |              0 | Cape_of_Legends                                                                            |                1 |
|    9384 |              0 | Chaos_Gauntlets                                                                            |                1 |
|    9385 |              0 | Chocolate_bar                                                                              |                1 |
|    9386 |              0 | Chocolate_Saturday                                                                         |                1 |
|    9387 |              0 | Closet_key                                                                                 |                1 |
|    9388 |              0 | Coat_of_arms                                                                               |                1 |
|    9389 |              0 | Cocktail_Glass                                                                             |                1 |
|    9390 |              0 | Cocktail_Guide                                                                             |                1 |
|    9391 |              0 | Cocktail_Shaker                                                                            |                1 |
|    9392 |              0 | Crumpled_scroll                                                                            |                1 |
|    9393 |              0 | Desert_boots                                                                               |                1 |
|    9394 |              0 | Desert_shirt                                                                               |                1 |
|    9395 |              0 | Diamond_amulet                                                                             |                1 |
|    9396 |              0 | Disk_of_returning                                                                          |                1 |
|    9397 |              0 | Doogle_leaf                                                                                |                1 |
|    9398 |              0 | Dragon_bone_certificate                                                                    |                1 |
|    9399 |              0 | Dragon_medium_helmet                                                                       |                1 |
|    9400 |              0 | Dragonstone_Amulet_of_Glory                                                                |                1 |
|    9401 |              0 | Dusty_key                                                                                  |                1 |
|    9402 |              0 | Easter_Egg                                                                                 |                1 |
|    9403 |              0 | Emerald_amulet                                                                             |                1 |
|    9404 |              0 | Emerald_Amulet_of_Protection                                                               |                1 |
|    9405 |              0 | Faladian_Knight's_Sword                                                                    |                1 |
|    9407 |              0 | Steel_gauntlets                                                                            |                0 |
|    9408 |              0 | Fly_fishing_rod                                                                            |                1 |
|    9409 |              0 | Ghostspeak_amulet                                                                          |                1 |
|    9410 |              0 | Glarial's_pebble                                                                           |                1 |
|    9411 |              0 | Gnome_amulet_of_protection                                                                 |                1 |
|    9413 |              0 | Gold_ore_certificate                                                                       |                1 |
|    9414 |              0 | Green_dye                                                                                  |                1 |
|    9415 |              0 | Half_a_redberry_pie                                                                        |                1 |
|    9416 |              0 | Half_Full_wine_jug                                                                         |                1 |
|    9417 |              0 | Halloween_Mask                                                                             |                1 |
|    9418 |              0 | Kebab_mix                                                                                  |                1 |
|    9419 |              0 | Limpwurt_root_certificate                                                                  |                1 |
|    9420 |              0 | Lobster_pot                                                                                |                1 |
|    9421 |              0 | Magic_logs                                                                                 |                1 |
|    9422 |              0 | Maple_log_certificate                                                                      |                1 |
|    9423 |              0 | Meat_pizza                                                                                 |                1 |
|    9425 |              0 | Mithril_Plated_Skirt                                                                       |                1 |
|    9426 |              0 | Mithril_spear                                                                              |                1 |
|    9427 |              0 | Murder_Scene_pot                                                                           |                1 |
|    9428 |              0 | Oily_fishing_rod                                                                           |                1 |
|    9429 |              0 | Orange_dye                                                                                 |                1 |
|    9430 |              0 | Pearl_bolt_tips                                                                            |                1 |
|    9431 |              0 | Pearl_bolts                                                                                |                1 |
|    9432 |              0 | Pineapple_pizza                                                                            |                1 |
|    9433 |              0 | Pineapple_rings                                                                            |                1 |
|    9434 |              0 | Pitta_bread                                                                                |                1 |
|    9435 |              0 | Pizza_base                                                                                 |                1 |
|    9436 |              0 | Plain_pizza                                                                                |                1 |
|    9437 |              0 | Poisoned_iron_dagger                                                                       |                1 |
|    9438 |              0 | Pot_of_spice                                                                               |                1 |
|    9439 |              0 | Raw_anchovies                                                                              |                1 |
|    9440 |              0 | Raw_herring                                                                                |                1 |
|    9441 |              0 | Raw_manta_ray                                                                              |                1 |
|    9442 |              0 | Raw_pike                                                                                   |                1 |
|    9443 |              0 | Raw_salmon                                                                                 |                1 |
|    9444 |              0 | Raw_sardine                                                                                |                1 |
|    9445 |              0 | Raw_sea_turtle                                                                             |                1 |
|    9446 |              0 | Raw_shrimp                                                                                 |                1 |
|    9447 |              0 | Raw_trout                                                                                  |                1 |
|    9448 |              0 | Red_bead                                                                                   |                1 |
|    9449 |              0 | Red_dye                                                                                    |                1 |
|    9450 |              0 | Restore_prayer_potion                                                                      |                1 |
|    9451 |              0 | Restore_prayer_potion_certificate                                                          |                1 |
|    9452 |              0 | Rock_Cake                                                                                  |                1 |
|    9453 |              0 | Rogue's_purse                                                                              |                1 |
|    9454 |              0 | Ruby_amulet                                                                                |                1 |
|    9455 |              0 | Ruby_amulet_of_strength                                                                    |                1 |
|    9456 |              0 | Rune_spear                                                                                 |                1 |
|    9457 |              0 | Sapphire_amulet                                                                            |                1 |
|    9458 |              0 | Sapphire_Amulet_of_Magic                                                                   |                1 |
|    9459 |              0 | Seasoned_sardine                                                                           |                1 |
|    9460 |              0 | SGG_(Short_Green_Guy)                                                                      |                1 |
|    9461 |              0 | Shadow_of_Iban                                                                             |                1 |
|    9462 |              0 | Silver_ore_certificate                                                                     |                1 |
|    9463 |              0 | Sito_foil                                                                                  |                1 |
|    9464 |              0 | Snake_weed                                                                                 |                1 |
|    9465 |              0 | Soft_clay                                                                                  |                1 |
|    9466 |              0 | Steel_Plated_Skirt                                                                         |                1 |
|    9467 |              0 | Super_Attack_Potion                                                                        |                1 |
|    9468 |              0 | Super_attack_potion_certificate                                                            |                1 |
|    9469 |              0 | Super_Defense_Potion                                                                       |                1 |
|    9470 |              0 | Super_defense_potion_certificate                                                           |                1 |
|    9471 |              0 | Super_Strength_Potion                                                                      |                1 |
|    9472 |              0 | Super_strength_potion_certificate                                                          |                1 |
|    9473 |              0 | Swamp_toad                                                                                 |                1 |
|    9474 |              0 | Tattered_scroll                                                                            |                1 |
|    9475 |              0 | Toad_Legs                                                                                  |                1 |
|    9476 |              0 | Uncooked_pizza                                                                             |                1 |
|    9477 |              0 | Unholy_symbol                                                                              |                1 |
|    9478 |              0 | Unholy_symbol_mould                                                                        |                1 |
|    9479 |              0 | Unstrung_Shortbow                                                                          |                1 |
|    9480 |              0 | Volencia_moss                                                                              |                1 |
|    9481 |              0 | War_Ship                                                                                   |                1 |
|    9482 |              0 | Water_(herblaw)                                                                            |                1 |
