MySQL [en_rscwiki]> select page_id, page_namespace, page_title, page_is_redirect from page;
+---------+----------------+--------------------------------------------------------------------------------------------+------------------+
| page_id | page_namespace | page_title                                                                                 | page_is_redirect |
|    1933 |             10 | Documentation/doc                                                                          |                0 |
|    1934 |             10 | Col-2/doc                                                                                  |                0 |
|    1935 |             10 | HeadingB/doc                                                                               |                0 |
|    1936 |             10 | T/doc                                                                                      |                0 |
|    1937 |             10 | T/piece/doc                                                                                |                0 |
|    1938 |             10 | Infobox/doc                                                                                |                0 |
|    1939 |             10 | Forumheader/doc                                                                            |                0 |
|    1942 |             10 | Navbox/doc                                                                                 |                0 |
|    1944 |             10 | Talkheader/doc                                                                             |                0 |
|    1945 |             10 | Reflist/doc                                                                                |                0 |
|    1946 |             10 | Edit/doc                                                                                   |                0 |
|    1947 |             10 | Talkcreate/doc                                                                             |                0 |
|    1948 |             10 | Fair_use/doc                                                                               |                0 |
|    1949 |             10 | GFDL/doc                                                                                   |                0 |
|    1950 |             10 | From_Wikimedia/doc                                                                         |                0 |
|    1951 |             10 | Other_free/doc                                                                             |                0 |
|    1952 |             10 | Permission/doc                                                                             |                0 |
|    1953 |             10 | Self/doc                                                                                   |                0 |
|    1954 |             10 | Cc-by-sa-3.0/doc                                                                           |                0 |
|    1955 |             10 | PD/doc                                                                                     |                0 |
|    1956 |             10 | No_license/doc                                                                             |                0 |
|    1959 |             10 | Infobox_item                                                                               |                1 |
|    1976 |             14 | Infobox_templates                                                                          |                0 |
|    1979 |              2 | Scarecroe/Monaco-sidebar                                                                   |                0 |
|    1980 |              2 | Scarecroe                                                                                  |                0 |
|    1981 |              3 | Uberfuzzy                                                                                  |                0 |
|    1982 |              3 | KyleH                                                                                      |                0 |
|    1983 |              8 | Newarticletext                                                                             |                0 |
|    1984 |              8 | Sidebar                                                                                    |                0 |
|    1987 |              4 | Style_guide                                                                                |                0 |
|    1995 |              8 | Createplate-list                                                                           |                0 |
|    1996 |              8 | Createplate-Character                                                                      |                0 |
|    1997 |              8 | Createplate-Item                                                                           |                0 |
|    1998 |              8 | Createplate-Location                                                                       |                0 |
|    1999 |              8 | Createplate-Event                                                                          |                0 |
|    2000 |              8 | Createplate-Quest                                                                          |                0 |
|    2001 |              2 | Richard1990                                                                                |                0 |
|    2002 |              3 | Richard1990                                                                                |                0 |
|    2003 |              8 | Editor-template-list                                                                       |                0 |
|    2004 |              0 | Main_Page                                                                                  |                1 |
|    2005 |              8 | Mainpage                                                                                   |                0 |
|    2006 |              1 | Main_Page                                                                                  |                1 |
|    2007 |              3 | Muzzy34                                                                                    |                0 |
|    2008 |              2 | Muzzy34                                                                                    |                0 |
|    2009 |              8 | Welcome-message-user                                                                       |                0 |
|    2011 |              8 | Welcome-user                                                                               |                0 |
|    2012 |              8 | Welcome-message-log                                                                        |                0 |
|    2014 |             10 | News                                                                                       |                0 |
|    2041 |             10 | Featuredarticle                                                                            |                0 |
|    2043 |             10 | Speedydelete                                                                               |                1 |
|    2044 |             10 | Speedydelete/doc                                                                           |                1 |
|    2046 |              4 | Not_RuneScape                                                                              |                0 |
|    2047 |              4 | Vandalism                                                                                  |                0 |
|    2048 |              4 | Don't_edit_userpages                                                                       |                0 |
|    2049 |              4 | All_human                                                                                  |                0 |
|    2050 |              0 | Character                                                                                  |                0 |
|    2051 |              0 | Avatar                                                                                     |                1 |
|    2052 |              0 | Classic                                                                                    |                1 |
|    2054 |              8 | Sitenotice                                                                                 |                0 |
|    2055 |              0 | Combat                                                                                     |                0 |
|    2056 |              0 | Combat_level                                                                               |                0 |
|    2058 |              6 | Woodcutting.png                                                                            |                0 |
|    2059 |              6 | Firelight.png                                                                              |                0 |
|    2060 |              6 | Style.png                                                                                  |                0 |
|    2061 |              0 | Woodcutting                                                                                |                0 |
|    2062 |              0 | Firemaking                                                                                 |                0 |
|    2063 |              0 | Fletching                                                                                  |                0 |
|    2064 |              0 | Cooking                                                                                    |                0 |
|    2065 |              0 | Oak_Logs                                                                                   |                0 |
|    2066 |              0 | Logs                                                                                       |                0 |
|    2068 |              4 | Requests_for_adminship                                                                     |                0 |
|    2069 |             14 | Combat_images                                                                              |                0 |
|    2070 |             14 | Skill_images                                                                               |                0 |
|    2071 |             10 | Signatures/Muzzy34                                                                         |                0 |
|    2073 |              2 | Jack_Spiral1                                                                               |                0 |
|    2074 |              3 | Jack_Spiral1                                                                               |                0 |
|    2075 |              0 | Willow_Logs                                                                                |                0 |
|    2076 |              2 | Lvl_3_skils3                                                                               |                0 |
|    2077 |              3 | Lvl_3_skils3                                                                               |                0 |
|    2078 |              0 | Defense                                                                                    |                0 |
|    2079 |              2 | Waterkunai1                                                                                |                0 |
|    2080 |              3 | Waterkunai1                                                                                |                0 |
|    2081 |              2 | Spence751                                                                                  |                0 |
|    2082 |              3 | Spence751                                                                                  |                0 |
|    2083 |             14 | Skills                                                                                     |                0 |
|    2085 |              0 | Maple_Logs                                                                                 |                0 |
|    2086 |              2 | Supirion1                                                                                  |                0 |
|    2087 |              3 | Supirion1                                                                                  |                0 |
|    2088 |              8 | Pagetitle                                                                                  |                0 |
|    2089 |              8 | Pagetitle-view-mainpage                                                                    |                0 |
|    2090 |              2 | Calebchiam                                                                                 |                0 |
|    2091 |              3 | Calebchiam                                                                                 |                0 |
|    2092 |              0 | Carpentry                                                                                  |                0 |
|    2093 |              2 | Sir_Scizor1                                                                                |                0 |
|    2094 |              3 | Sir_Scizor1                                                                                |                0 |
|    2095 |              0 | Falador                                                                                    |                0 |
|    2096 |              0 | Party_Hat                                                                                  |                0 |
|    2097 |              0 | Attack                                                                                     |                0 |
|    2098 |              0 | Armour                                                                                     |                0 |
|    2100 |             10 | Stdsummaries                                                                               |                0 |
|    2102 |              8 | Undo-success                                                                               |                0 |
|    2104 |              8 | Ipboptions                                                                                 |                0 |
|    2105 |              0 | Armor                                                                                      |                1 |
|    2106 |              0 | Bank                                                                                       |                0 |
|    2108 |              3 | 97.115.117.126                                                                             |                0 |
|    2109 |             10 | Nosubst                                                                                    |                0 |
|    2110 |              0 | Maces                                                                                      |                0 |
|    2112 |              2 | Armadyl_Bunny                                                                              |                0 |
|    2113 |              3 | Armadyl_Bunny                                                                              |                0 |
|    2114 |              6 | Rune_Chain_Mail_Body.png                                                                   |                0 |
|    2117 |              6 | Black_Chain_Mail_Body.png                                                                  |                0 |
|    2121 |              2 | Spencemac724                                                                               |                0 |
|    2122 |              3 | Spencemac724                                                                               |                0 |
|    2123 |              6 | Rune_Axe.png                                                                               |                0 |
|    2124 |              4 | All_editors_are_equal                                                                      |                0 |
|    2127 |             10 | Shortcut                                                                                   |                0 |
|    2128 |             10 | Nutshell                                                                                   |                0 |
|    2129 |              0 | RSC:AEAE                                                                                   |                1 |
|    2130 |              0 | RSC:EQUAL                                                                                  |                1 |
|    2131 |              4 | Assume_good_faith                                                                          |                0 |
|    2133 |              4 | Don't_delete_discussions                                                                   |                0 |
|    2135 |              4 | Ignore_all_rules                                                                           |                0 |
|    2137 |              4 | Gaming_the_system                                                                          |                0 |
|    2139 |             14 | Policies                                                                                   |                0 |
|    2140 |              0 | RSC:VANDAL                                                                                 |                1 |
|    2141 |              0 | RSC:AH                                                                                     |                1 |
|    2143 |              0 | RSC:NOT                                                                                    |                1 |
|    2144 |              0 | RSC:DES                                                                                    |                1 |
|    2145 |              0 | RSC:DDD                                                                                    |                1 |
|    2146 |              0 | RSC:IAR                                                                                    |                1 |
|    2147 |              0 | RSC:GTS                                                                                    |                1 |
|    2148 |              0 | RSC:AGF                                                                                    |                1 |
|    2149 |              4 | Neutral_point_of_view                                                                      |                0 |
|    2150 |              0 | RSC:NPOV                                                                                   |                1 |
|    2151 |              4 | Redirecting                                                                                |                0 |
|    2152 |              0 | RSC:REDIR                                                                                  |                1 |
|    2153 |              4 | Three-revert_rule                                                                          |                0 |
|    2156 |              0 | RSC:TRR                                                                                    |                1 |
|    2157 |              0 | RSC:3RR                                                                                    |                1 |
|    2158 |              4 | User_block_policy                                                                          |                0 |
|    2159 |              0 | RSC:BLOCK                                                                                  |                1 |
|    2160 |              4 | User_treatment_policy                                                                      |                0 |
|    2161 |              0 | RSC:UTP                                                                                    |                1 |
|    2162 |              0 | Admin                                                                                      |                1 |
|    2163 |              0 | RSC:ADMIN                                                                                  |                1 |
|    2164 |             10 | Signatures/Spencemac724                                                                    |                0 |
|    2165 |             14 | Stubs                                                                                      |                0 |
|    2166 |             14 | Logs                                                                                       |                0 |
|    2168 |              2 | Destoyer43                                                                                 |                0 |
|    2169 |              3 | Destoyer43                                                                                 |                0 |
|    2170 |              6 | Combat.png                                                                                 |                0 |
|    2171 |              2 | Bruxacosmica                                                                               |                0 |
|    2172 |              3 | Bruxacosmica                                                                               |                0 |
|    2174 |              2 | Moli.wikia                                                                                 |                0 |
|    2175 |              0 | Black_knight                                                                               |                1 |
|    2177 |              2 | Zorak_plorak                                                                               |                0 |
|    2178 |              3 | Zorak_plorak                                                                               |                0 |
|    2179 |              2 | King_Vivil                                                                                 |                0 |
|    2180 |              3 | King_Vivil                                                                                 |                0 |
|    2181 |              0 | Hits                                                                                       |                0 |
|    2182 |              2 | Mewlink2                                                                                   |                0 |
|    2183 |              3 | Mewlink2                                                                                   |                0 |
|    2184 |              0 | Meat                                                                                       |                1 |
|    2185 |              2 | Newbie856                                                                                  |                0 |
|    2186 |              3 | Newbie856                                                                                  |                0 |
|    2187 |              0 | Shrimp                                                                                     |                0 |
|    2188 |              0 | Raw_Ugthanki_Meat                                                                          |                0 |
|    2189 |              0 | Bread                                                                                      |                0 |
|    2190 |              6 | Classicbank.PNG                                                                            |                0 |
|    2191 |              0 | Prayer                                                                                     |                0 |
|    2192 |              0 | Ranged                                                                                     |                0 |
|    2193 |              0 | Strength                                                                                   |                0 |
|    2194 |              0 | Magic                                                                                      |                0 |
|    2195 |              0 | Fishing                                                                                    |                0 |
|    2196 |              0 | Crafting                                                                                   |                0 |
|    2197 |              0 | Smithing                                                                                   |                0 |
|    2198 |              0 | Mining                                                                                     |                0 |
|    2199 |              0 | Herblaw                                                                                    |                0 |
|    2200 |              0 | Agility                                                                                    |                0 |
|    2201 |              0 | King_Black_Dragon                                                                          |                0 |
|    2203 |              0 | Dragon_Bones                                                                               |                0 |
|    2204 |              0 | Yew_Logs                                                                                   |                0 |
|    2205 |              0 | Magic_Logs                                                                                 |                0 |
|    2206 |              3 | 86.134.84.205                                                                              |                0 |
|    2207 |             10 | Signatures/Newbie856                                                                       |                0 |
|    2210 |              2 | Newbie856/nav                                                                              |                0 |
|    2212 |              2 | Twigs_the_legendary_slayer                                                                 |                0 |
|    2213 |              3 | Twigs_the_legendary_slayer                                                                 |                0 |
|    2214 |             14 | Signatures                                                                                 |                0 |
|    2215 |             14 | Items                                                                                      |                0 |
|    2216 |              2 | Jono6504                                                                                   |                0 |
|    2217 |              3 | Jono6504                                                                                   |                0 |
|    2220 |              0 | White_Wolf_Mountain                                                                        |                0 |
|    2222 |              0 | Dragon_(race)                                                                              |                0 |
|    2223 |              0 | Bones                                                                                      |                0 |
|    2224 |             14 | Monsters                                                                                   |                0 |
|    2227 |              0 | Copper_ore                                                                                 |                0 |
|    2228 |              0 | Cow                                                                                        |                0 |
|    2229 |              0 | Copper_Ore                                                                                 |                1 |
|    2230 |              0 | Tin_ore                                                                                    |                0 |
|    2232 |             14 | Ores                                                                                       |                0 |
|    2234 |             14 | Bones                                                                                      |                0 |
|    2236 |             14 | Food                                                                                       |                0 |
|    2239 |              2 | The1AndOnlyMike                                                                            |                0 |
|    2240 |              3 | The1AndOnlyMike                                                                            |                0 |
|    2241 |              0 | Bronze_pickaxe                                                                             |                1 |
